indicator,target,feature,lag_days,horizon_days,spearman_r,spearman_p,pearson_r,pearson_p,n_obs,q_spearman
xrp_price,xrp,xrp_price_mom21,120,7,-0.0033,0.8932547840338775,-0.0246,0.31415256195157343,1678,0.9263
xrp_price,xrp,xrp_price_yoy252,120,7,-0.0629,0.01666294851536655,-0.0391,0.1367905216536798,1447,0.029
xrp_price,xrp,xrp_price_zscore,120,7,0.0048,0.845273193667359,-0.0148,0.5495542744386608,1637,0.895
xrp_price,xrp,xrp_price_dz,120,30,-0.0336,0.1802625077608329,-0.0171,0.4951869041188628,1593,0.2455
xrp_price,xrp,xrp_price_ma30,120,30,-0.168,5.48628890491239e-12,-0.14,9.990872865287284e-09,1662,0.0
xrp_price,xrp,xrp_price_ma90,120,30,-0.1838,7.137081130498611e-14,-0.1504,1.0253606315901102e-09,1632,0.0
xrp_price,xrp,xrp_price_mom21,120,30,-0.0576,0.019072429000930455,-0.0338,0.16926140396369838,1655,0.0327
xrp_price,xrp,xrp_price_yoy252,120,30,-0.1168,9.936662853190264e-06,-0.0763,0.00396713023285731,1424,0.0
xrp_price,xrp,xrp_price_zscore,120,30,0.0362,0.14571624196114955,-0.0937,0.00016222174606912615,1614,0.2007
xrp_price,xrp,xrp_price_dz,120,60,0.1041,3.7356340600916685e-05,0.0346,0.17187651596755416,1563,0.0001
xrp_price,xrp,xrp_price_ma30,120,60,-0.3205,2.70536059425516e-40,-0.1954,1.6678386317954397e-15,1632,0.0
xrp_price,xrp,xrp_price_ma90,120,60,-0.3479,8.406240195338221e-47,-0.2074,4.9669351853665474e-17,1602,0.0
xrp_price,xrp,xrp_price_mom21,120,60,0.0661,0.007673457755598403,0.0047,0.8492013248015832,1625,0.014
xrp_price,xrp,xrp_price_yoy252,120,60,-0.1382,2.2133257380343918e-07,-0.0873,0.00109911678480485,1394,0.0
xrp_price,xrp,xrp_price_zscore,120,60,-0.0086,0.7336558319250751,-0.1283,3.00909716549031e-07,1584,0.8038
xrp_price,xrp,xrp_price_dz,120,90,0.0339,0.1844182800263456,-0.0256,0.3157754265879885,1533,0.2499
xrp_price,xrp,xrp_price_ma30,120,90,-0.3793,5.729809931409203e-56,-0.22,5.152584568230131e-19,1602,0.0
xrp_price,xrp,xrp_price_ma90,120,90,-0.4097,1.0878386664683706e-64,-0.2379,1.146085736527778e-21,1572,0.0
xrp_price,xrp,xrp_price_mom21,120,90,-0.0412,0.09973794954732618,-0.0389,0.12011046415277352,1595,0.147
xrp_price,xrp,xrp_price_yoy252,120,90,-0.1997,9.830569265538211e-14,-0.1273,2.4063502295108864e-06,1364,0.0
xrp_price,xrp,xrp_price_zscore,120,90,-0.0791,0.0018046196501616506,-0.1867,1.1651244461617462e-13,1554,0.0036
xrp_price,xrp,xrp_price_dz,120,120,0.145,1.6281410332273347e-08,-0.0061,0.8145585672844223,1503,0.0
xrp_price,xrp,xrp_price_ma30,120,120,-0.4561,1.302741730652208e-81,-0.262,4.431696429444635e-26,1572,0.0
xrp_price,xrp,xrp_price_ma90,120,120,-0.4793,2.292841085665735e-89,-0.2819,1.4432215842774454e-29,1542,0.0
xrp_price,xrp,xrp_price_mom21,120,120,0.0773,0.002202758196861763,0.0011,0.9655566286447556,1565,0.0043
xrp_price,xrp,xrp_price_yoy252,120,120,-0.2981,8.857587800242982e-29,-0.1821,2.09110095673714e-11,1334,0.0
xrp_price,xrp,xrp_price_zscore,120,120,-0.102,6.634320627246471e-05,-0.1679,4.176962019450308e-11,1524,0.0002
xrp_price,xrp,xrp_price_dz,180,1,0.0085,0.7384756243727226,0.0163,0.5199015689437272,1562,0.8039
xrp_price,xrp,xrp_price_ma30,180,1,-0.0443,0.07365177341656244,-0.0415,0.09419083854097472,1631,0.1153
xrp_price,xrp,xrp_price_ma90,180,1,-0.0396,0.11291596715556936,-0.0456,0.06805168411442256,1601,0.1645
